Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-12-12,14:00 (16:00),Premier League,Matchweek 16,Sun,Home,W,4,0,Newcastle Utd,2.6,1.0,47,31959,Kasper Schmeichel,4-2-3-1,Peter Bankes,Match Report,
2021-12-22,19:45 (21:45),EFL Cup,Quarter-finals,Wed,Away,D,3 (4),3 (5),Liverpool,,,34,52020,Kasper Schmeichel,4-3-1-2,Andy Madley,Match Report,Liverpool won on penalty kicks following extra time
2021-12-26,15:00 (17:00),Premier League,Matchweek 19,Sun,Away,L,3,6,Manchester City,2.7,3.6,28,53226,Kasper Schmeichel,4-4-1-1,Chris Kavanagh,Match Report,
2021-12-28,20:00 (22:00),Premier League,Matchweek 20,Tue,Home,W,1,0,Liverpool,0.4,2.3,37,32230,Kasper Schmeichel,4-3-1-2,Michael Oliver,Match Report,
2022-01-08,15:00 (17:00),FA Cup,Third round proper,Sat,Home,W,4,1,Watford,,,52,25710,Marc Albrighton,4-2-3-1,Mike Dean,Match Report,
2022-01-19,19:30 (21:30),Premier League,Matchweek 17,Wed,Home,L,2,3,Tottenham,1.2,3.1,49,31986,Kasper Schmeichel,3-5-2,Jonathan Moss,Match Report,
2022-01-23,14:00 (16:00),Premier League,Matchweek 23,Sun,Home,D,1,1,Brighton,1.4,1.1,44,31231,Kasper Schmeichel,4-2-3-1,Martin Atkinson,Match Report,
2022-02-06,16:00 (18:00),FA Cup,Fourth round proper,Sun,Away,L,1,4,Nott'ham Forest,,,62,28762,Youri Tielemans,4-2-3-1,Paul Tierney,Match Report,
2022-02-10,19:45 (21:45),Premier League,Matchweek 24,Thu,Away,L,0,2,Liverpool,0.5,1.8,36,53050,Kasper Schmeichel,4-2-3-1,Chris Kavanagh,Match Report,
2022-02-13,16:30 (18:30),Premier League,Matchweek 25,Sun,Home,D,2,2,West Ham,1.4,1.1,55,32061,Kasper Schmeichel,4-3-3,Michael Oliver,Match Report,
2022-02-17,20:00 (22:00),Conf Lg,Knockout round play-offs,Thu,Home,W,4,1,dk Randers,4.4,0.6,65,25242,Kasper Schmeichel,4-3-3,Radu Petrescu,Match Report,Leg 1 of 2
2022-02-20,16:30 (18:30),Premier League,Matchweek 26,Sun,Away,L,1,2,Wolves,1.7,0.5,63,31587,Kasper Schmeichel,4-3-3,Craig Pawson,Match Report,
2022-02-24,18:45 (19:45),Conf Lg,Knockout round play-offs,Thu,Away,W,3,1,dk Randers,0.7,3.3,55,8948,Kasper Schmeichel,4-3-3,Irfan Peljto,Match Report,Leg 2 of 2; Leicester City won
2022-03-01,19:45 (21:45),Premier League,Matchweek 22,Tue,Away,W,2,0,Burnley,1.5,0.9,55,17825,Kasper Schmeichel,4-3-3,Chris Kavanagh,Match Report,
2022-03-05,12:30 (14:30),Premier League,Matchweek 28,Sat,Home,W,1,0,Leeds United,0.4,1.7,51,32236,Kasper Schmeichel,4-3-3,David Coote,Match Report,
2022-03-10,20:00 (22:00),Conf Lg,Round of 16,Thu,Home,W,2,0,fr Rennes,1.1,1.2,50,25848,Kasper Schmeichel,4-3-3,Orel Grinfeeld,Match Report,Leg 1 of 2
2022-03-13,16:30 (18:30),Premier League,Matchweek 29,Sun,Away,L,0,2,Arsenal,0.4,2.4,54,60111,Kasper Schmeichel,4-2-3-1,Anthony Taylor,Match Report,
2022-03-17,18:45 (19:45),Conf Lg,Round of 16,Thu,Away,L,1,2,fr Rennes,1.1,1.9,32,27000,Kasper Schmeichel,4-3-3,Anastasios Sidiropoulos,Match Report,Leg 2 of 2; Leicester City won
2022-03-20,14:00 (16:00),Premier League,Matchweek 30,Sun,Home,W,2,1,Brentford,1.0,1.3,52,31830,Kasper Schmeichel,4-2-3-1,Darren England,Match Report,
2022-04-02,17:30 (18:30),Premier League,Matchweek 31,Sat,Away,D,1,1,Manchester Utd,0.8,0.9,46,73444,Kasper Schmeichel,4-2-3-1,Andre Marriner,Match Report,
2022-04-07,20:00 (21:00),Conf Lg,Quarter-finals,Thu,Home,D,0,0,nl PSV Eindhoven,0.8,0.5,58,31327,Kasper Schmeichel,4-3-3,Ivan Kružliak,Match Report,Leg 1 of 2
2022-04-10,14:00 (15:00),Premier League,Matchweek 32,Sun,Home,W,2,1,Crystal Palace,1.0,1.4,51,31896,Kasper Schmeichel,4-2-3-1,Robert Jones,Match Report,
2022-04-14,18:45,Conf Lg,Quarter-finals,Thu,Away,W,2,1,nl PSV Eindhoven,2.7,1.1,57,35000,Kasper Schmeichel,4-3-3,Benoît Bastien,Match Report,Leg 2 of 2; Leicester City won
2022-04-17,14:15 (15:15),Premier League,Matchweek 33,Sun,Away,L,1,2,Newcastle Utd,0.6,1.8,68,52104,Kasper Schmeichel,4-1-4-1,Jarred Gillett,Match Report,
2022-04-20,19:45 (20:45),Premier League,Matchweek 18,Wed,Away,D,1,1,Everton,0.9,1.8,63,39153,Kasper Schmeichel,4-2-3-1,David Coote,Match Report,
2022-04-23,15:00 (16:00),Premier League,Matchweek 34,Sat,Home,D,0,0,Aston Villa,0.3,0.9,64,32185,Kasper Schmeichel,4-1-4-1,Andy Madley,Match Report,
2022-04-28,20:00 (21:00),Conf Lg,Semi-finals,Thu,Home,D,1,1,it Roma,1.6,0.5,67,31659,Kasper Schmeichel,4-3-3,Carlos del Cerro,Match Report,Leg 1 of 2
2022-05-01,14:00 (15:00),Premier League,Matchweek 35,Sun,Away,L,1,3,Tottenham,0.5,1.2,60,59482,Kasper Schmeichel,3-5-2,Jonathan Moss,Match Report,
2022-05-05,21:00,Conf Lg,Semi-finals,Thu,Away,L,0,1,it Roma,0.5,0.9,63,63940,Kasper Schmeichel,4-3-3,Srđan Jovanović,Match Report,Leg 2 of 2; Roma won
2022-05-08,14:00 (15:00),Premier League,Matchweek 36,Sun,Home,L,1,2,Everton,1.5,1.1,66,32001,Kasper Schmeichel,3-1-4-2,Craig Pawson,Match Report,
2022-05-11,19:45 (20:45),Premier League,Matchweek 21,Wed,Home,W,3,0,Norwich City,2.0,1.1,65,38092,Kasper Schmeichel,4-2-3-1,Simon Hooper,Match Report,
2022-05-15,14:00 (15:00),Premier League,Matchweek 37,Sun,Away,W,5,1,Watford,2.5,1.4,59,20257,Jonny Evans,4-1-4-1,Jarred Gillett,Match Report,
2022-05-19,20:00 (21:00),Premier League,Matchweek 27,Thu,Away,D,1,1,Chelsea,0.1,1.6,33,31478,Kasper Schmeichel,3-1-4-2,Stuart Attwell,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Home,W,4,1,Southampton,3.4,1.1,51,32003,Kasper Schmeichel,4-2-3-1,Jonathan Moss,Match Report,
